Object Title,Date of Production,Theater Company,Playwright,Location,Description,ID,Language,Rights,Subject,Digital Collection,Type,Format,Play Title,Genre,Notes
Barter's Fall Repertory,1977-09-21/1977-10-30,"Barter Theatre (Organization : Abingdon, Va.)","Christie, Agatha, 1890-1976,  Long, Sumner Arthur, 1921-1993","Virginia, Washington, Abingdon",This is a poster of a calendar view of Barter's production of two plays over the course of a month.,BTR_BTR_000486,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters",The Barter Theater Collection,Still Image,image/jpeg,"The Mousetrap, Never Too Late",Performing arts posters,
Virginia Highlands Festival Attractions,07-14/08-15,"Barter Theatre (Organization : Abingdon, Va.)","Williams, Tennessee, 1911-1983, Wilder, Thornton, 1897-1975, Kaufman, George S. (George Simon), 1889-1961, Hart, Moss, 1904-1961","Virginia, Washington, Abingdon",This is a poster advertising the production of three plays at the Barter Theater.,BTR_BTR_000487,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Advertising postcards",The Barter Theater Collection,Still Image,image/jpeg,"The Matchmaker, The Glass Menagerie, You Can't Take It With You","Posters, Postcards",
45th Season,1977-08-31/1977-10-30,"Barter Theatre (Organization : Abingdon, Va.)","Havens, Sam, Christie, Agatha, 1890-1976,  Long, Sumner Arthur, 1921-1993","Virginia, Washington, Abingdon",This is a poster advertising the 45th Fall Season at The Barter Theatre,BTR_BTR_000489,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Advertising postcards",The Barter Theater Collection,Still Image,image/jpeg,"Bubba, The Mousetrap, Never Too Late","Posters, Postcards",
Playbill for Double Feature,1978-09-06/1978-09-13,"Barter Theatre (Organization : Abingdon, Va.)","Behrman, S. N. (Samuel Nathaniel), 1893-1973, Ayckbourn, Alan, 1939-","Virginia, Washington, Abingdon",This is a playbill for the production of The Second Man and How The Other Half Loves at the Barter Theatre.,BTR_BTR_000491,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,"The Second Man, How The Other Half Loves",Playbills,
The StoryWeavers and The StoryTeller,1992-08-02,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon",This is a poster advertising the StoryWeavers and The StoryTellers as chosen by the Tennessee Arts Commissions,BTR_BTR_000492,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Theatrical posters, Dramatists",The Barter Theater Collection,Still Image,image/jpeg,,,The Storyweavers are Lucinda Flodin and Dennis Frederick; the Storyteller is Ibe
Wiley and The Hairy Man,08-06,"Barter Theatre (Organization : Abingdon, Va.)","Zeder, Susan","Virginia, Washington, Abingdon",This is a mini playbill for the production of Wiley and The Hairy Man at the Virginia Highlands Festival put on by The First Light Theater at the Barter Theater,BTR_BTR_000493,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
Robin Hood,1990,"Barter Theatre (Organization : Abingdon, Va.)","Pisarski, Cathryn, ","Virginia, Washington, Abingdon",This is a mini playbill for the production of Robin Hood at the Barter Youth Stage.,BTR_BTR_000494,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills, Children's theater",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
The Robert Porterfield Memorial Fund,,"Barter Theatre (Organization : Abingdon, Va.)",,"Virginia, Washington, Abingdon",This is a flyer proposing and outline a plan to implement The Robert Porterfield Memorial Fund.,BTR_BTR_000495,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Fund raising",The Barter Theater Collection,Still Image,image/jpeg,,Fliers (Printed matter),
The New York Experience ,,"Barter Theatre (Organization : Abingdon, Va.)",,"New York, New York",This is a brochure advertising New York's Multisensory theater with the Theme of a New York Experience,BTR_BTR_000496,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Leaflets, Theaters--New York (State)",The Barter Theater Collection,Still Image,image/jpeg,,Brochures,
Oscar's Easter Menu,1978,"Barter Theatre (Organization : Abingdon, Va.)",,,This is card outlining the Oscar's Easter Menu,BTR_BTR_000497,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Menus, Menu design, Easter",The Barter Theater Collection,Still Image,image/jpeg,,Menus,
The Wind in The Willows,08-16,"Barter Theatre (Organization : Abingdon, Va.)","Baldwin, Joseph, ","Virginia, Washington, Abingdon",This is a mini playbill for the production ofThe Wind in The Willows at the Barter Youth Stage.,BTR_BTR_000498,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills, Children's theater",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
Tom Sawyer,,"Barter Theatre (Organization : Abingdon, Va.)","Kinter, Richard","Virginia, Washington, Abingdon",This is a playbill for the production of Tom Sawyer at the Barter Theatre.,BTR_BTR_000499,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
Dangerous Corner,1949-1950,"Barter Theatre (Organization : Abingdon, Va.)","Priestley, J. B. (John Boynton), 1894-1984","Virginia, Washington, Abingdon",This is a playbill for the production of Dangerous Corner at the Barter Theatre.,BTR_BTR_000500,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
An Evening with Rita Gardner,1978-07-31,"Barter Theatre (Organization : Abingdon, Va.)","Gardner, Rita, 1955-","Virginia, Washington, Abingdon",This is a mini playbill for the production of An Evening with Rita Gardener at the Virginia Highlands Festival put on by Barter Theater,BTR_BTR_000501,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,
Bango Dancing ,1992-08-10,"Barter Theatre (Organization : Abingdon, Va.)","Wade, Stephen Eric, 1953-","Virginia, Washington, Abingdon",This is a playbill for the production of Bango Dancing Starring Stephen Wade at the Barter Theatre.,BTR_BTR_000502,eng,"http://rightsstatements.org/vocab/InC-EDU/1.0/; The original object is the property of the Barter Theatre in Abingdon, VA (https://www.bartertheatre.com/). This digital surrogate is made publicly available by the Barter Theatre for use in research, teaching, private study, and other educational purposes. Responsibility for any use of these materials rests exclusively with the user. When using this item, users should give proper credit to the owner of the original object as well as to Virginia Tech Libraries.","Theater, Theaters--Virginia, Playbills",The Barter Theater Collection,Still Image,image/jpeg,,Playbills,Starring Stephen Wade
